1;123;диЖелезо триоксид (Железа оксид) (в пересчете на железо)                                                                                                                                                                                                          ; 0.040000023;0
2;228;Хрома трехвалентные соединения (в пересчете на Cr3+)                                                                                                                                                                                                              ; 0.010000030;0
3;337;Углерода оксид                                                                                                                                                                                                                                                    ; 5.000000014;0
4;1301;Проп-2-ен-1-аль                                                                                                                                                                                                                                                   ; 0.030000012;0
5;1864;Три(2-гидроксиэтил)амин (Триэтаноламин)                                                                                                                                                                                                                           ; 0.040000030;0
6;2868;Эмульсол                                                                                                                                                                                                                                                          ; 0.050000030;0
7;2902;Взвешенные вещества                                                                                                                                                                                                                                               ; 0.500000013;0
8;2907;Пыль неорганическая, содержащая двуокись кремния выше 70% (Динас и др.)                                                                                                                                                                                           ; 0.150000013;0
9;2917;Пыль хлопковая                                                                                                                                                                                                                                                    ; 0.200000013;0
10;2920;Пыль меховая (шерстяная, пуховая)                                                                                                                                                                                                                                 ; 0.030000030;0
11;2930;Пыль абразивная (Корунд белый, Монокорунд)                                                                                                                                                                                                                        ; 0.040000030;0
13;2812;Смазочно-охлаждающая жидкость ОСМ-А                                                                                                                                                                                                                               ; 0.050000030;0
15;101;диАлюминий триоксид (в пересчете на алюминий)                                                                                                                                                                                                                     ; 0.010000022;1
16;109;Бериллий и его соединения (в пересчете на бериллий)                                                                                                                                                                                                               ; 0.000010021;1
17;110;диВанадий пентоксид (пыль) (Ванадиевый ангидрид)                                                                                                                                                                                                                  ; 0.002000021;1
18;118;Титан диоксид                                                                                                                                                                                                                                                     ; 0.500000030;1
20;133;Кадмий оксид (в пересчете на кадмий)                                                                                                                                                                                                                              ; 0.000300021;1
21;143;Марганец и его соединения (в пересчете на марганца (IV) оксид)                                                                                                                                                                                                    ; 0.010000012;1
22;146;Медь оксид (Меди оксид) (в пересчете на медь)                                                                                                                                                                                                                     ; 0.002000022;1
23;164;Никель оксид (в пересчете на никель)                                                                                                                                                                                                                              ; 0.001000022;1
24;168;Олово оксид (в пересчете на олово)                                                                                                                                                                                                                                ; 0.020000023;1
25;184;Свинец и его неорганические соединения (в пересчете на свинец)                                                                                                                                                                                                    ; 0.001000011;1
26;207;Цинк оксид (в пересчете на цинк)                                                                                                                                                                                                                                  ; 0.050000023;1
28;260;Кобальт оксид (в пересчете на кобальт)                                                                                                                                                                                                                            ; 0.001000022;1
29;266;Молибден и его неорганические соединения (молибдена (III) оксид, парамолибдат аммония и др.) (по молибдену)                                                                                                                                                       ; 0.020000023;1
30;275;диНиобий пентаоксид (Ниобий (+5) оксид)                                                                                                                                                                                                                           ; 0.150000030;1
31;286;Церий и его неорганические соединения (диоксид, полирит, фотопол) (в пересчете на церий)                                                                                                                                                                          ; 0.060000030;1
32;290;Сурьма                                                                                                                                                                                                                                                            ; 0.010000030;1
33;293;Цирконий и его неорганические соединения (диоксид, карбид, нитрид и др.) (в пересчете на цирконий)                                                                                                                                                                ; 0.020000013;1
34;2981;Пыль ферросплавов (железо - 51%, кремний - 47%) (по железу)                                                                                                                                                                                                       ; 0.020000030;1
35;134;Кобальт                                                                                                                                                                                                                                                           ; 0.000400022;1
36;163;Никель и его соединения                                                                                                                                                                                                                                           ; 0.001000022;1
37;283;Тантал                                                                                                                                                                                                                                                            ; 0.150000030;1
38;2987;Пыль латуни (в пересчете на медь)                                                                                                                                                                                                                                 ; 0.003000030;1
39;2732;Керосин                                                                                                                                                                                                                                                           ; 1.200000030;0
40;2735;Масло минеральное нефтяное (веретенное, машинное, цилиндровое и др.)                                                                                                                                                                                              ; 0.050000030;0
41;2921;Пыль поливинилхлорида                                                                                                                                                                                                                                             ; 0.100000030;0
42;2934;Пыль аминопластов                                                                                                                                                                                                                                                 ; 0.040000030;0
43;328;Углерод (Пигмент черный)                                                                                                                                                                                                                                          ; 0.150000013;1
44;2988;Новое вещество                                                                                                                                                                                                                                                    ; 1.000000011;1
45;2989;Новое вещество                                                                                                                                                                                                                                                    ; 1.000000011;1
46;2978;Пыль резинвого вулкнизата                                                                                                                                                                                                                                         ; 0.100000030;1
47;2908;Пыль неорганическая: 20-70% SiO2                                                                                                                                                                                                                                  ; 0.300000013;1
